ID;Comercio;Titulo
cmogqir06008t7b3ca56ou87a;Paradiñeiro;35% descuento – Farmacias Paradiñeiro Online
cmogqirwo008x7b3cxz2ygx1f;La Amistad;20% descuento – Supermercado La Amistad
cmogqiu7800967b3cwvjypc0d;Farmacia Zentner;10% descuento – Farmacia Zentner
cmogqj5n200aj7b3cxe5tbpvn;El Puente;15% descuento – Farmacias Del Puente
cmogqj96200ax7b3c48ldwv54;Diarco;20% descuento – Diarco Barrio
cmogqjbn800b67b3cjew4mqat;Santa Ana;15% descuento – Farmacia Santa Ana
cmogqjg5w00bp7b3cupfo69cf;Cordial;10% descuento – Cordial Supermercado
cmogqjnnl00ci7b3cjlammxhh;Diarco;15% descuento – Diarco Mayorista
cmogrhbbd000yxdrmzpelen8p;Juleriaque;10% descuento – Juleriaque
cmogqhquq004k7b3ctndd0pu2;Disco & Vea;20% descuento – Disco
cmogqi1z8005w7b3cebg1giqh;Vea;20% descuento – Supermercados Vea
cmogrigkn0049xdrm25tn1uw3;Ruiz y Roca;10% descuento – Ruiz y Roca
cmogqibib00707b3c13sqnipw;Central Oeste;3 cuotas sin interés – Farmacias Central Oeste
cmogqik9600807b3c3b61iati;Paradiñeiro;35% descuento – Farmacias Paradiñeiro -
cmogqj4k100af7b3cvst950a6;Almundo;20% descuento – Almundo
cmogqkap800et7b3c6j7b377z;Diarco;15% descuento – Diarco Pueblo
